"id","category","file","max_seconds","en","ku","notes"
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Bibore, min ew fêm nekir.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Min tu hilbijartin nebihîst.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Ez ê niha bihêlim ku hûn ji tîma bersivê re peyamekê bihêlin. Piştî dengî, bibêjin hûn li ku ne û çi diqewime.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Rêberiya alîkariya pêşîn. Hê bersivderek tê agahdarkirin û heke bikaribe wê beşdar bibe. Digel min bimînin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Hûn gihîştin xeta awarte ya kampusê. Bangê we tê tomarkirin, û niha alîkarî tê gihandin. Li ser xetê bimînin. Heke kesek niha alîkariya pêşîn hewce dike, her dem pêl yekê bikin, û ez ê rê nîşanî we bidim.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Hê jî hûn bi bersivderekê ve tên girêdan. Heke hûn niha alîkariya pêşîn hewce dikin, ji bo rêberiya gav bi gav pêl yekê bikin.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Hişyariya awarte. Li ser xeta awarte ya kampusê bangeke çalak heye û tu bersivderî bersiv neda. Ji kerema xwe niha xwe amade bikin. Ji bo tevlîbûna rêza awarte pêl yekê bikin.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Hûn niha di dewrê de ne. Hûn ê bangên awarte yên kampusê wergirin heta ku hûn bi kêşana stêrk du sê ji dewrê dernekevin.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Hûn niha ji dewrê derketin. Hûn ê êdî bangên awarte yên kampusê wernegirin.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Niha avahiyê vala bikin. Bi lez ji deriyê derketina ewle ya nêztirîn derkevin. Asansoran bikar neînin. Ber bi cihê civîna xwe ve biçin û li benda talîmatên din bin.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Niha li cihê xwe bimînin û xwe biparêzin. Biçin hundir, deriyê xwe bigirin an asteng bikin, dûrî pencereyan bimînin, û heta ku ji we re neyê gotin ku ewle ye bêdeng bimînin. Li benda talîmatên din bin.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Rewşa awarte niha qediya. Ewle ye ku hûn vegerin ser çalakiya asayî. Ji bo hevkariya we spas dikin.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Niha biçin cihê civîna xwe yê diyarkirî. Bi aramî bimeşin, li cihê ku hûn dikarin alîkariya kesên din bikin, û li benda jimartinê bin. Li benda talîmatên din bin.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Ev jimartina ewlehiyê ye. Heke hûn ewle ne û dikarin bersiv bidin, niha pêl yekê bikin.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Ev testeke Xizmeta Hişyariya Awarte ya UPES e. Ev tenê testek e. Tu tevger ne hewce ye, û tu bersiva awarte nayê şandin.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Heke hûn ewle ne, pêl yekê bikin.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Spas. Hûn wek ewle hatin nîşankirin. Hûn niha dikarin telefonê daynin.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Tu bersiv nehat tomarkirin. Ji kerema xwe bi qasî ku hûn dikarin zû bi wardenê xwe re têkilî daynin.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Niha avahiyê vala bikin. Bi lez ji deriyê derketina ewle ya nêztirîn derkevin. Asansoran bikar neînin. Ber bi cihê civîna xwe ve biçin û li benda talîmatên din bin.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Li kampusê bûyerek heye. Ji herêma bandorbûyî dûr bimînin, nêzîk nebin, û talîmatên personelên ewlehiyê bişopînin. Li benda talîmatên din bin.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Rewşa awarte niha qediya. Ewle ye ku hûn vegerin ser çalakiya asayî. Ji bo hevkariya we spas dikin.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Bala xwe bidin. Ev Xizmeta Hişyariya Awarte ya UPES e. Niha biçin cihê civîna xwe yê diyarkirî. Bi aramî bimeşin, li cihê ku hûn dikarin alîkariya kesên din bikin, û li benda jimartinê bin. Li benda talîmatên din bin.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Bala xwe bidin. Ev agahdariyek ji Xizmeta Hişyariya Awarte ya UPES e. Ji kerema xwe bi baldarî guhdarî bikin û talîmatên ku tên bişopînin.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Ev ceribandineke pergala awarte ya UPES e. Ev tenê testek e. Tu rewşa awarte ya rastîn nîne, û tu bersiv nayê şandin. Spas.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Niha tu bersivder ne vala ye ku bangê we bigire. Piştî dengî, ji kerema xwe navê xwe, cihê ku hûn lê ne, û çi diqewime bibêjin. Ewle bimînin. Alîkarî wê bi qasî ku dibe zû li we vegere.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Bibore. Hûn ne destûrdar in ku vê taybetmendiyê bikar bînin.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Ji kerema xwe li ser xetê bimînin. Em we niha bi bersivderekê ve girê didin.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Hûn niha hatin rawestandin, û hûn ê bangên awarte wernegirin. Ji bo dîsa dest pê kirin, stêrk çar şeş bikêşin.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Hûn niha vala ne, û hûn ê dîsa bangên awarte wergirin.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Ji bo guhertina zimên, ji bo Îngilîzî 1 an jî ji bo Hindî 2 bitikîne.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
