"id","category","file","max_seconds","en","te","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","నేను ఇప్పుడు ఒక రెస్పాండర్‌ను చేరుకోవడానికి ప్రయత్నిస్తున్నాను. దయచేసి లైన్‌లో ఉండి వేచి ఉండండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","ఇంకా ఏ రెస్పాండర్ ఖాళీగా లేరు. నేను మీతోనే ఉంటాను. మార్గదర్శకానికి తిరిగి వెళుతున్నాను.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","క్షమించండి, నాకు అది అర్థం కాలేదు.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","నాకు ఏ ఎంపిక వినిపించలేదు.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","ఇప్పుడు నేను మిమ్మల్ని ప్రతిస్పందన బృందానికి ఒక సందేశం ఇవ్వనిస్తాను. టోన్ తర్వాత, మీరు ఎక్కడ ఉన్నారో, ఏమి జరుగుతోందో చెప్పండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","ప్రథమ చికిత్స మార్గదర్శకం. ఒక రెస్పాండర్‌కు ఇంకా సమాచారం అందిస్తున్నాము, వీలైతే వారు చేరతారు. నాతోనే ఉండండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","మీరు క్యాంపస్ అత్యవసర లైన్‌కు చేరుకున్నారు. మీ కాల్ రికార్డ్ చేయబడుతోంది, ఇప్పుడు సహాయం చేరుకుంటోంది. లైన్‌లో ఉండండి. ఇప్పుడే ఎవరికైనా ప్రథమ చికిత్స అవసరమైతే, ఎప్పుడైనా ఒకటి నొక్కండి, నేను మీకు మార్గనిర్దేశం చేస్తాను.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","మిమ్మల్ని ఇంకా ఒక రెస్పాండర్‌కు కలుపుతున్నాము. మీకు ఇప్పుడు ప్రథమ చికిత్స అవసరమైతే, దశలవారీ మార్గదర్శకం కోసం ఒకటి నొక్కండి.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","అత్యవసర హెచ్చరిక. క్యాంపస్ అత్యవసర లైన్‌లో ఒక క్రియాశీల కాల్ ఉంది, ఏ రెస్పాండర్ సమాధానం ఇవ్వలేదు. దయచేసి ఇప్పుడే అందుబాటులో ఉండండి. అత్యవసర క్యూలో చేరడానికి ఒకటి నొక్కండి.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","మీరు ఇప్పుడు షిఫ్ట్‌లో ఉన్నారు. మీరు స్టార్ రెండు మూడు డయల్ చేసి షిఫ్ట్ నుండి బయటకు వచ్చే వరకు, మీకు క్యాంపస్ అత్యవసర కాల్‌లు వస్తాయి.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","మీరు ఇప్పుడు షిఫ్ట్ నుండి బయటకు వచ్చారు. మీకు ఇక క్యాంపస్ అత్యవసర కాల్‌లు రావు.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. ఇప్పుడే భవనాన్ని ఖాళీ చేయండి. దగ్గరలోని సురక్షిత నిష్క్రమణ ద్వారా వెంటనే బయటకు వెళ్లండి. లిఫ్ట్‌లను ఉపయోగించకండి. మీ సమావేశ స్థలానికి వెళ్లి, తదుపరి సూచనల కోసం వేచి ఉండండి.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. ఇప్పుడే ఉన్న చోటే సురక్షితంగా ఉండండి. లోపలికి వెళ్లి, మీ తలుపు లాక్ చేయండి లేదా అడ్డుకోండి, కిటికీలకు దూరంగా ఉండండి, సురక్షితమని చెప్పే వరకు నిశ్శబ్దంగా ఉండండి. తదుపరి సూచనల కోసం వేచి ఉండండి.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. అత్యవసర పరిస్థితి ఇప్పుడు ముగిసింది. సాధారణ కార్యకలాపాలను తిరిగి ప్రారంభించడం సురక్షితం. మీ సహకారానికి ధన్యవాదాలు.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. ఇప్పుడే మీకు నిర్దేశించిన సమావేశ స్థలానికి వెళ్లండి. ప్రశాంతంగా కదలండి, వీలైన చోట ఇతరులకు సహాయం చేయండి, లెక్కింపు కోసం వేచి ఉండండి. తదుపరి సూచనల కోసం వేచి ఉండండి.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. ఇది ఒక భద్రతా లెక్కింపు. మీరు సురక్షితంగా ఉండి స్పందించగలిగితే, ఇప్పుడే ఒకటి నొక్కండి.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ యొక్క పరీక్ష. ఇది కేవలం ఒక పరీక్ష మాత్రమే. ఏ చర్య అవసరం లేదు, ఏ అత్యవసర ప్రతిస్పందనా పంపబడదు.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","మీరు సురక్షితంగా ఉంటే ఒకటి నొక్కండి.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","ధన్యవాదాలు. మీరు సురక్షితంగా నమోదు చేయబడ్డారు. మీరు ఇప్పుడు కాల్ ముగించవచ్చు.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","ఏ స్పందనా నమోదు కాలేదు. మీకు వీలైనంత త్వరగా మీ వార్డెన్‌ను సంప్రదించండి.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. ఇప్పుడే భవనాన్ని ఖాళీ చేయండి. దగ్గరలోని సురక్షిత నిష్క్రమణ ద్వారా వెంటనే బయటకు వెళ్లండి. లిఫ్ట్‌లను ఉపయోగించకండి. మీ సమావేశ స్థలానికి వెళ్లి, తదుపరి సూచనల కోసం వేచి ఉండండి.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. క్యాంపస్‌లో ఒక సంఘటన జరిగింది. ప్రభావిత ప్రాంతానికి దూరంగా ఉండండి, దగ్గరకు వెళ్లకండి, భద్రతా సిబ్బంది సూచనలను పాటించండి. తదుపరి సూచనల కోసం వేచి ఉండండి.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. అత్యవసర పరిస్థితి ఇప్పుడు ముగిసింది. సాధారణ కార్యకలాపాలను తిరిగి ప్రారంభించడం సురక్షితం. మీ సహకారానికి ధన్యవాదాలు.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ. ఇప్పుడే మీకు నిర్దేశించిన సమావేశ స్థలానికి వెళ్లండి. ప్రశాంతంగా కదలండి, వీలైన చోట ఇతరులకు సహాయం చేయండి, లెక్కింపు కోసం వేచి ఉండండి. తదుపరి సూచనల కోసం వేచి ఉండండి.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","గమనించండి. ఇది యూపీఈఎస్ అత్యవసర హెచ్చరిక సేవ నుండి ఒక నోటిఫికేషన్. దయచేసి జాగ్రత్తగా వినండి, తర్వాత వచ్చే సూచనలను పాటించండి.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","ఇది యూపీఈఎస్ అత్యవసర వ్యవస్థ డ్రిల్. ఇది కేవలం ఒక పరీక్ష మాత్రమే. ఏ నిజమైన అత్యవసర పరిస్థితీ జరగడం లేదు, ఏ ప్రతిస్పందనా పంపబడదు. ధన్యవాదాలు.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","ఇప్పుడు మీ కాల్ తీసుకోవడానికి ఏ రెస్పాండర్ అందుబాటులో లేరు. టోన్ తర్వాత, దయచేసి మీ పేరు, మీరు ఎక్కడ ఉన్నారో, ఏమి జరుగుతోందో చెప్పండి. సురక్షితంగా ఉండండి. సాధ్యమైనంత త్వరగా సహాయం మిమ్మల్ని తిరిగి పిలుస్తుంది.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","క్షమించండి. ఈ ఫీచర్‌ను ఉపయోగించడానికి మీకు అనుమతి లేదు.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","దయచేసి లైన్‌లో ఉండండి. మేము ఇప్పుడు మిమ్మల్ని ఒక రెస్పాండర్‌కు కలుపుతున్నాము.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","మీరు ఇప్పుడు నిలిపివేయబడ్డారు, మీకు అత్యవసర కాల్‌లు రావు. తిరిగి ప్రారంభించడానికి స్టార్ నాలుగు ఆరు డయల్ చేయండి.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","మీరు ఇప్పుడు అందుబాటులో ఉన్నారు, మీకు మళ్లీ అత్యవసర కాల్‌లు వస్తాయి.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","భాషను మార్చడానికి, ఇంగ్లీషు కోసం 1 నొక్కండి, లేదా హిందీ కోసం 2 నొక్కండి.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
