"id","category","file","max_seconds","en","sw","notes"
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Toka jengoni sasa. Ondoka mara moja kwa njia ya kutokea salama iliyo karibu zaidi. Usitumie lifti. Nenda kwenye eneo lako la kukusanyika na usubiri maagizo zaidi.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Kuna tukio chuoni. Baki mbali na eneo lililoathirika, usikaribie, na ufuate maagizo ya wafanyakazi wa usalama. Subiri maagizo zaidi.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Dharura sasa imekwisha. Ni salama kuendelea na shughuli za kawaida. Asante kwa ushirikiano wako.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Nenda kwenye eneo lako maalum la kukusanyika sasa. Tembea kwa utulivu, wasaidie wengine pale unapoweza, na usubiri kuhesabiwa. Subiri maagizo zaidi.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Tahadhari. Hii ni taarifa kutoka Huduma ya Tahadhari ya Dharura ya UPES. Tafadhali sikiliza kwa makini na ufuate maagizo yanayofuata.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Haya ni mazoezi ya mfumo wa dharura wa UPES. Haya ni majaribio tu. Hakuna dharura halisi inayoendelea, na hakuna jibu litakalotumwa. Asante.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Hakuna mhudumu anayepatikana kupokea simu yako sasa hivi. Baada ya mlio, tafadhali sema jina lako, ulipo, na kinachoendelea. Baki salama. Msaada utakupigia tena haraka iwezekanavyo.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Samahani. Hauruhusiwi kutumia kipengele hiki.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Tafadhali baki kwenye laini. Tunakuunganisha na mhudumu sasa.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Sasa umesitishwa, na hutapokea simu za dharura. Piga nyota nne sita kuendelea.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Sasa unapatikana, na utapokea simu za dharura tena.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Kubadilisha lugha, bonyeza 1 kwa Kiingereza au 2 kwa Kihindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
