"id","category","file","max_seconds","en","lb","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Ech probéieren elo e Responder z'erreechen. Bleift w.e.g. op der Linn a waart.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Nach ass kee Responder fräi. Ech bleiwen bei Iech. Zréck bei d'Guidance.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Verzeit, ech hunn dat net verstanen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Ech hunn keng Wiel héieren.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Ech loossen Iech elo eng Noriicht fir d'Reaktiounsteam hannerloossen. No dem Toun, sot wou Dir sidd a wat lass ass.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Éischt-Hëllef-Guidance. E Responder gëtt nach ëmmer alarméiert a wäert bäitrieden wann hie kann. Bleift bei mir.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Dir hutt d'Noutfall-Linn vum Campus erreecht. Är Uruff gëtt opgeholl, an d'Hëllef gëtt elo erreecht. Bleift op der Linn. Wann een elo Éischt Hëllef brauch, dréckt zu all Moment eent, an ech begleeden Iech.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Dir gitt nach ëmmer mat engem Responder verbonnen. Wann Dir elo Éischt Hëllef braucht, dréckt eent fir Schrëtt-fir-Schrëtt-Guidance.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Noutfall-Alarm. Et gëtt en aktiven Uruff op der Campus-Noutfall-Linn a kee Responder huet geäntwert. Maacht Iech w.e.g. elo verfügbar. Dréckt eent fir an d'Noutfall-Schlaang bäizetrieden.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Dir sidd elo am Déngscht. Dir kritt Campus-Noutrufer bis Dir aus dem Déngscht gitt andeem Dir Stär zwee dräi wielt.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Dir sidd elo aus dem Déngscht. Dir kritt keng Campus-Noutrufer méi.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Evakuéiert d'Gebai elo. Verloosst et direkt duerch den nooste sécheren Ausgang. Benotzt d'Lifter net. Gitt bei äre Sammelpunkt a waart op weider Uweisungen.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Sicht elo Schutz op der Plaz. Gitt no bannen, spaart oder blockéiert är Dier, bleift ewech vu Fënsteren, a bleift roueg bis Iech gesot gëtt datt et sécher ass. Waart op weider Uweisungen.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Den Noutfall ass elo eriwwer. Et ass sécher fir déi normal Aktivitéit erëmzehuelen. Merci fir är Zesummenaarbecht.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Gitt elo bei äre festgeluechte Sammelpunkt. Beweegt Iech roueg, hëlleft aneren wou Dir kënnt, a waart fir gezielt ze ginn. Waart op weider Uweisungen.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Dëst ass eng Sécherheetszielung. Wann Dir sécher sidd a fäeg ze äntwerten, dréckt elo eent.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Dëst ass en Test vum UPES Noutfall-Alarm-Déngscht. Dëst ass nëmmen en Test. Et ass keng Aktioun néideg, a keng Noutfall-Reaktioun gëtt geschéckt.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Dréckt eent wann Dir sécher sidd.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Merci. Dir sidd als sécher markéiert. Dir kënnt elo oofleeën.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Et gouf keng Äntwert registréiert. Kontaktéiert w.e.g. äre Warden esou séier wéi méiglech.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Evakuéiert d'Gebai elo. Verloosst et direkt duerch den nooste sécheren Ausgang. Benotzt d'Lifter net. Gitt bei äre Sammelpunkt a waart op weider Uweisungen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Et gëtt e Virfall um Campus. Bleift ewech vun der betraffener Géigend, gitt net no, a follegt d'Uweisungen vum Sécherheetspersonal. Waart op weider Uweisungen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Den Noutfall ass elo eriwwer. Et ass sécher fir déi normal Aktivitéit erëmzehuelen. Merci fir är Zesummenaarbecht.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Opgepasst. Dëst ass de UPES Noutfall-Alarm-Déngscht. Gitt elo bei äre festgeluechte Sammelpunkt. Beweegt Iech roueg, hëlleft aneren wou Dir kënnt, a waart fir gezielt ze ginn. Waart op weider Uweisungen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Opgepasst. Dëst ass eng Matdeelung vum UPES Noutfall-Alarm-Déngscht. Lauschtert w.e.g. opmierksam a follegt d'Uweisungen déi folgen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Dëst ass eng Iwwung vum UPES Noutfall-System. Dëst ass nëmmen en Test. Et ass kee richtegen Noutfall am Gaang, a keng Reaktioun gëtt geschéckt. Merci.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Am Moment ass kee Responder verfügbar fir är Uruff unzehuelen. No dem Toun, sot w.e.g. äre Numm, wou Dir sidd, a wat lass ass. Bleift sécher. D'Hëllef rifft Iech esou séier wéi méiglech zréck.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Verzeit. Dir sidd net autoriséiert fir dës Funktioun ze benotzen.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Bleift w.e.g. op der Linn. Mir verbannen Iech elo mat engem Responder.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Dir sidd elo pauséiert, a kritt keng Noutrufer. Wielt Stär véier sechs fir weiderzemaachen.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Dir sidd elo verfügbar, a kritt erëm Noutrufer.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Fir d'Sprooch z'änneren, dréckt 1 fir Englesch oder 2 fir Hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
