"id","category","file","max_seconds","en","sq","notes"
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Ende po ju lidhim me një përgjegjës. Nëse keni nevojë për ndihmë të parë tani, shtypni një për udhëzime hap pas hapi.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Alarm emergjence. Ka një telefonatë aktive në linjën e emergjencës të kampusit dhe asnjë përgjegjës nuk është përgjigjur. Ju lutem bëhuni i disponueshëm tani. Shtypni një për t'u bashkuar me radhën e emergjencës.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Tani jeni në turn. Do të merrni telefonata emergjence të kampusit derisa të dilni nga turni duke telefonuar yll dy tre.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Tani jeni jashtë turnit. Nuk do të merrni më telefonata emergjence të kampusit.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Evakuoni ndërtesën tani. Largohuni menjëherë nga dalja e sigurt më e afërt. Mos përdorni ashensorët. Shkoni në pikën tuaj të grumbullimit dhe prisni udhëzime të mëtejshme.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Strehohuni në vend tani. Futuni brenda, kyçni ose bllokoni derën tuaj, qëndroni larg dritareve, dhe rrini në heshtje derisa t'ju thuhet se është e sigurt. Prisni udhëzime të mëtejshme.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Emergjenca tani ka mbaruar. Është e sigurt të rifilloni aktivitetin normal. Faleminderit për bashkëpunimin tuaj.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Shkoni në pikën tuaj të caktuar të grumbullimit tani. Lëvizni me qetësi, ndihmoni të tjerët aty ku mundeni, dhe prisni të numëroheni. Prisni udhëzime të mëtejshme.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Kjo është një numërim sigurie. Nëse jeni i sigurt dhe në gjendje të përgjigjeni, shtypni një tani.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Ky është një test i Shërbimit të Alarmit të Emergjencës i UPES. Ky është vetëm një test. Nuk kërkohet asnjë veprim, dhe nuk do të dërgohet asnjë reagim emergjence.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Shtypni një nëse jeni i sigurt.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Faleminderit. Jeni shënuar si i sigurt. Tani mund ta mbyllni telefonatën.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Nuk u regjistrua asnjë përgjigje. Ju lutem kontaktoni kujdestarin tuaj sapo të mundeni.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Evakuoni ndërtesën tani. Largohuni menjëherë nga dalja e sigurt më e afërt. Mos përdorni ashensorët. Shkoni në pikën tuaj të grumbullimit dhe prisni udhëzime të mëtejshme.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Ka një incident në kampus. Qëndroni larg zonës së prekur, mos u afroni, dhe ndiqni udhëzimet e personelit të sigurisë. Prisni udhëzime të mëtejshme.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Emergjenca tani ka mbaruar. Është e sigurt të rifilloni aktivitetin normal. Faleminderit për bashkëpunimin tuaj.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Kujdes. Ky është Shërbimi i Alarmit të Emergjencës i UPES. Shkoni në pikën tuaj të caktuar të grumbullimit tani. Lëvizni me qetësi, ndihmoni të tjerët aty ku mundeni, dhe prisni të numëroheni. Prisni udhëzime të mëtejshme.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Kujdes. Ky është një njoftim nga Shërbimi i Alarmit të Emergjencës i UPES. Ju lutem dëgjoni me kujdes dhe ndiqni udhëzimet që vijojnë.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Ky është një ushtrim i sistemit të emergjencës të UPES. Ky është vetëm një test. Nuk ka asnjë emergjencë reale në vazhdim, dhe nuk do të dërgohet asnjë reagim. Faleminderit.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Asnjë përgjegjës nuk është i disponueshëm për të marrë telefonatën tuaj tani. Pas sinjalit, ju lutem thoni emrin tuaj, ku jeni, dhe çfarë po ndodh. Qëndroni të sigurt. Ndihma do t'ju telefonojë përsëri sa më shpejt që të jetë e mundur.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Më vjen keq. Nuk jeni i autorizuar për të përdorur këtë funksion.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Ju lutem qëndroni në linjë. Po ju lidhim me një përgjegjës tani.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Tani jeni në pauzë, dhe nuk do të merrni telefonata emergjence. Telefononi yll katër gjashtë për të rifilluar.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Tani jeni i disponueshëm, dhe do të merrni përsëri telefonata emergjence.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Për të ndryshuar gjuhën, shtypni 1 për anglisht ose 2 për hindisht.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
