"id","category","file","max_seconds","en","hu","notes"
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. A vészhelyzet véget ért. Biztonságos a normál tevékenység folytatása. Köszönjük az együttmuködését.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Menjen a kijelölt gyülekezoponthoz most. Mozogjon nyugodtan, segítsen másoknak, ahol tud, és várjon a létszámellenorzésre. Várja a további utasításokat.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Ez egy biztonsági létszámellenorzés. Ha biztonságban van, és tud válaszolni, nyomja meg az egyes gombot most.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Ez a UPES vészhelyzeti riasztási szolgálatának tesztje. Ez csak egy teszt. Semmilyen teendo nincs, és nem indul vészhelyzeti reagálás.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Nyomja meg az egyes gombot, ha biztonságban van.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Köszönjük. Biztonságosként rögzítettük. Most leteheti a telefont.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Nem rögzítettünk választ. Kérjük, vegye fel a kapcsolatot a gondnokával, amint teheti.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Ürítse ki az épületet azonnal. Távozzon haladéktalanul a legközelebbi biztonságos kijáraton. Ne használja a liftet. Menjen a gyülekezoponthoz, és várja a további utasításokat.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Esemény történt a kampuszon. Maradjon távol az érintett területtol, ne közelítse meg, és kövesse a biztonsági személyzet utasításait. Várja a további utasításokat.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. A vészhelyzet véget ért. Biztonságos a normál tevékenység folytatása. Köszönjük az együttmuködését.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Menjen a kijelölt gyülekezoponthoz most. Mozogjon nyugodtan, segítsen másoknak, ahol tud, és várjon a létszámellenorzésre. Várja a további utasításokat.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Figyelem. Ez egy értesítés a UPES vészhelyzeti riasztási szolgálatától. Kérjük, figyeljen oda, és kövesse az ezt követo utasításokat.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Ez a UPES vészhelyzeti rendszerének gyakorlata. Ez csak egy teszt. Nincs valós vészhelyzet folyamatban, és nem indul reagálás. Köszönjük.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Jelenleg nincs elérheto ügyeletes, aki fogadhatná a hívását. A hangjelzés után kérjük, mondja el a nevét, hogy hol van, és mi történik. Maradjon biztonságban. A segítség a leheto leghamarabb visszahívja.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Sajnáljuk. Nincs jogosultsága a funkció használatához.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Kérjük, maradjon a vonalban. Most kapcsoljuk egy ügyeleteshez.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Most szüneteltetve van, és nem fog vészhelyzeti hívásokat kapni. A folytatáshoz tárcsázza a csillag négy hat kódot.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Most elérheto, és újra fog vészhelyzeti hívásokat kapni.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","A nyelv módosításához nyomja meg az 1-et az angolhoz, vagy a 2-t a hindihez.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
