"id","category","file","max_seconds","en","ml","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","ഞാൻ ഇപ്പോൾ ഒരു റെസ്പോണ്ടറെ ബന്ധപ്പെടാൻ ശ്രമിക്കുകയാണ്. ദയവായി ലൈനിൽ തുടർന്ന് കാത്തിരിക്കുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","ഇതുവരെ ഒരു റെസ്പോണ്ടറും ഒഴിവില്ല. ഞാൻ നിങ്ങളോടൊപ്പം ഉണ്ടാകും. മാർഗനിർദേശത്തിലേക്ക് മടങ്ങുന്നു.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","ക്ഷമിക്കണം, എനിക്ക് അത് മനസ്സിലായില്ല.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","എനിക്ക് ഒരു തിരഞ്ഞെടുപ്പും കേട്ടില്ല.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","ഇപ്പോൾ ഞാൻ നിങ്ങളെ പ്രതികരണ സംഘത്തിന് ഒരു സന്ദേശം നൽകാൻ അനുവദിക്കാം. ടോണിനു ശേഷം, നിങ്ങൾ എവിടെയാണെന്നും എന്താണ് സംഭവിക്കുന്നതെന്നും പറയുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","പ്രഥമശുശ്രൂഷാ മാർഗനിർദേശം. ഒരു റെസ്പോണ്ടറെ ഇപ്പോഴും അറിയിക്കുന്നുണ്ട്, കഴിയുമെങ്കിൽ അവർ ചേരും. എന്നോടൊപ്പം നിൽക്കുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","നിങ്ങൾ ക്യാമ്പസ് അടിയന്തര ലൈനിൽ എത്തിയിരിക്കുന്നു. നിങ്ങളുടെ കോൾ റെക്കോർഡ് ചെയ്യുന്നു, ഇപ്പോൾ സഹായം എത്തിക്കൊണ്ടിരിക്കുന്നു. ലൈനിൽ തുടരുക. ആർക്കെങ്കിലും ഇപ്പോൾ പ്രഥമശുശ്രൂഷ ആവശ്യമെങ്കിൽ, എപ്പോൾ വേണമെങ്കിലും ഒന്ന് അമർത്തുക, ഞാൻ നിങ്ങളെ നയിക്കാം.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","നിങ്ങളെ ഇപ്പോഴും ഒരു റെസ്പോണ്ടറുമായി ബന്ധിപ്പിക്കുന്നു. നിങ്ങൾക്ക് ഇപ്പോൾ പ്രഥമശുശ്രൂഷ വേണമെങ്കിൽ, ഘട്ടം ഘട്ടമായുള്ള മാർഗനിർദേശത്തിന് ഒന്ന് അമർത്തുക.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","അടിയന്തര മുന്നറിയിപ്പ്. ക്യാമ്പസ് അടിയന്തര ലൈനിൽ ഒരു സജീവ കോൾ ഉണ്ട്, ഒരു റെസ്പോണ്ടറും മറുപടി നൽകിയിട്ടില്ല. ദയവായി ഇപ്പോൾ ലഭ്യമാകുക. അടിയന്തര ക്യൂവിൽ ചേരാൻ ഒന്ന് അമർത്തുക.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","നിങ്ങൾ ഇപ്പോൾ ഷിഫ്റ്റിലാണ്. സ്റ്റാർ രണ്ട് മൂന്ന് ഡയൽ ചെയ്ത് ഷിഫ്റ്റിൽ നിന്ന് പുറത്തുപോകുന്നതുവരെ, നിങ്ങൾക്ക് ക്യാമ്പസ് അടിയന്തര കോളുകൾ ലഭിക്കും.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","നിങ്ങൾ ഇപ്പോൾ ഷിഫ്റ്റിൽ നിന്ന് പുറത്തായി. നിങ്ങൾക്ക് ഇനി ക്യാമ്പസ് അടിയന്തര കോളുകൾ ലഭിക്കില്ല.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. ഇപ്പോൾ കെട്ടിടം ഒഴിയുക. അടുത്തുള്ള സുരക്ഷിത പുറത്തുകടക്കൽ വഴി ഉടനെ പുറത്തിറങ്ങുക. ലിഫ്റ്റുകൾ ഉപയോഗിക്കരുത്. നിങ്ങളുടെ സമ്മേളന സ്ഥലത്തേക്ക് നീങ്ങി, തുടർ നിർദേശങ്ങൾക്കായി കാത്തിരിക്കുക.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. ഇപ്പോൾ ഉള്ളിടത്തുതന്നെ സുരക്ഷിതരായിരിക്കുക. അകത്തേക്ക് കയറുക, നിങ്ങളുടെ വാതിൽ പൂട്ടുകയോ തടയുകയോ ചെയ്യുക, ജനലുകളിൽ നിന്ന് അകന്നിരിക്കുക, സുരക്ഷിതമാണെന്ന് അറിയിക്കുന്നതുവരെ നിശ്ശബ്ദരായിരിക്കുക. തുടർ നിർദേശങ്ങൾക്കായി കാത്തിരിക്കുക.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. അടിയന്തരാവസ്ഥ ഇപ്പോൾ അവസാനിച്ചു. സാധാരണ പ്രവർത്തനങ്ങൾ പുനരാരംഭിക്കുന്നത് സുരക്ഷിതമാണ്. നിങ്ങളുടെ സഹകരണത്തിന് നന്ദി.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. ഇപ്പോൾ നിങ്ങൾക്ക് നിശ്ചയിച്ച സമ്മേളന സ്ഥലത്തേക്ക് പോകുക. ശാന്തമായി നീങ്ങുക, കഴിയുന്നിടത്ത് മറ്റുള്ളവരെ സഹായിക്കുക, എണ്ണിത്തിട്ടപ്പെടുത്തുന്നതുവരെ കാത്തിരിക്കുക. തുടർ നിർദേശങ്ങൾക്കായി കാത്തിരിക്കുക.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. ഇത് ഒരു സുരക്ഷാ എണ്ണമെടുപ്പാണ്. നിങ്ങൾ സുരക്ഷിതരും പ്രതികരിക്കാൻ കഴിവുള്ളവരുമാണെങ്കിൽ, ഇപ്പോൾ ഒന്ന് അമർത്തുക.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനത്തിന്റെ ഒരു പരീക്ഷണമാണ്. ഇത് ഒരു പരീക്ഷണം മാത്രമാണ്. ഒരു നടപടിയും ആവശ്യമില്ല, ഒരു അടിയന്തര പ്രതികരണവും അയയ്ക്കില്ല.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","നിങ്ങൾ സുരക്ഷിതരാണെങ്കിൽ ഒന്ന് അമർത്തുക.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","നന്ദി. നിങ്ങളെ സുരക്ഷിതരായി രേഖപ്പെടുത്തി. നിങ്ങൾക്ക് ഇപ്പോൾ കോൾ അവസാനിപ്പിക്കാം.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","ഒരു പ്രതികരണവും രേഖപ്പെടുത്തിയില്ല. കഴിയുന്നത്ര വേഗം നിങ്ങളുടെ വാർഡനെ ബന്ധപ്പെടുക.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. ഇപ്പോൾ കെട്ടിടം ഒഴിയുക. അടുത്തുള്ള സുരക്ഷിത പുറത്തുകടക്കൽ വഴി ഉടനെ പുറത്തിറങ്ങുക. ലിഫ്റ്റുകൾ ഉപയോഗിക്കരുത്. നിങ്ങളുടെ സമ്മേളന സ്ഥലത്തേക്ക് നീങ്ങി, തുടർ നിർദേശങ്ങൾക്കായി കാത്തിരിക്കുക.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. ക്യാമ്പസിൽ ഒരു സംഭവം ഉണ്ടായിട്ടുണ്ട്. ബാധിത പ്രദേശത്തുനിന്ന് അകന്നിരിക്കുക, അടുത്തേക്ക് പോകരുത്, സുരക്ഷാ ജീവനക്കാരുടെ നിർദേശങ്ങൾ പിന്തുടരുക. തുടർ നിർദേശങ്ങൾക്കായി കാത്തിരിക്കുക.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
