"id","category","file","max_seconds","en","cy","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Rwy'n ceisio cysylltu ag ymatebydd nawr. Arhoswch ar y llinell a daliwch ymlaen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Nid oes ymatebydd ar gael eto. Byddaf yn aros gyda chi. Yn dychwelyd at yr arweiniad.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Mae'n ddrwg gennyf, ni ddeallais hynny.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Ni chlywais ddewis.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Byddaf nawr yn gadael i chi adael neges i'r tim ymateb. Ar ol y ton, dywedwch ble rydych chi a beth sy'n digwydd.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Arweiniad cymorth cyntaf. Mae ymatebydd yn dal i gael ei rybuddio a bydd yn ymuno os gall. Arhoswch gyda mi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Rydych wedi cyrraedd llinell argyfwng y campws. Mae eich galwad yn cael ei recordio, ac mae cymorth yn cael ei gyrraedd nawr. Arhoswch ar y llinell. Os oes angen cymorth cyntaf ar rywun ar unwaith, pwyswch un ar unrhyw adeg, a byddaf yn eich arwain.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Yn dal i'ch cysylltu ag ymatebydd. Os oes angen cymorth cyntaf arnoch nawr, pwyswch un am arweiniad cam wrth gam.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Rhybudd argyfwng. Mae galwad fyw ar linell argyfwng y campws ac nid oes unrhyw ymatebydd wedi ateb. Gwnewch eich hun ar gael nawr. Pwyswch un i ymuno a'r ciw argyfwng.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Rydych nawr ar shifft. Byddwch yn derbyn galwadau argyfwng y campws nes i chi fynd oddi ar shifft drwy ddeialu seren dau tri.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Rydych nawr oddi ar shifft. Ni fyddwch yn derbyn galwadau argyfwng y campws mwyach.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Gadewch yr adeilad nawr. Ewch allan ar unwaith drwy'r allanfa ddiogel agosaf. Peidiwch a defnyddio'r lifftiau. Symudwch i'ch man ymgynnull ac arhoswch am gyfarwyddiadau pellach.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Cysgodwch yn eich lle nawr. Symudwch dan do, cloiwch neu rwystrwch eich drws, cadwch draw o ffenestri, ac arhoswch yn dawel nes dywedir wrthych ei bod yn ddiogel. Arhoswch am gyfarwyddiadau pellach.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Mae'r argyfwng drosodd nawr. Mae'n ddiogel ailddechrau gweithgaredd arferol. Diolch am eich cydweithrediad.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Ewch i'ch man ymgynnull dynodedig nawr. Symudwch yn bwyllog, helpwch eraill lle gallwch, ac arhoswch i gael eich cyfrif. Arhoswch am gyfarwyddiadau pellach.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Cyfrif pennau diogelwch yw hwn. Os ydych yn ddiogel ac yn gallu ymateb, pwyswch un nawr.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Dyma brawf o Wasanaeth Rhybudd Argyfwng UPES. Prawf yn unig yw hwn. Nid oes angen unrhyw weithred, ac ni fydd unrhyw ymateb argyfwng yn cael ei anfon.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Pwyswch un os ydych yn ddiogel.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Diolch. Rydych wedi'ch nodi'n ddiogel. Gallwch roi'r ffon i lawr nawr.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Ni chofnodwyd unrhyw ymateb. Cysylltwch a'ch warden cyn gynted ag y gallwch.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Gadewch yr adeilad nawr. Ewch allan ar unwaith drwy'r allanfa ddiogel agosaf. Peidiwch a defnyddio'r lifftiau. Symudwch i'ch man ymgynnull ac arhoswch am gyfarwyddiadau pellach.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Mae digwyddiad ar y campws. Cadwch draw o'r ardal yr effeithiwyd arni, peidiwch a nesau, a dilynwch gyfarwyddiadau'r staff diogelwch. Arhoswch am gyfarwyddiadau pellach.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Mae'r argyfwng drosodd nawr. Mae'n ddiogel ailddechrau gweithgaredd arferol. Diolch am eich cydweithrediad.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Sylw. Dyma Wasanaeth Rhybudd Argyfwng UPES. Ewch i'ch man ymgynnull dynodedig nawr. Symudwch yn bwyllog, helpwch eraill lle gallwch, ac arhoswch i gael eich cyfrif. Arhoswch am gyfarwyddiadau pellach.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Sylw. Dyma hysbysiad gan Wasanaeth Rhybudd Argyfwng UPES. Gwrandewch yn ofalus a dilynwch y cyfarwyddiadau sy'n dilyn.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Dyma ymarfer system argyfwng UPES. Prawf yn unig yw hwn. Nid oes argyfwng go iawn ar waith, ac ni fydd unrhyw ymateb yn cael ei anfon. Diolch.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Nid oes ymatebydd ar gael i gymryd eich galwad ar hyn o bryd. Ar ol y ton, dywedwch eich enw, ble rydych chi, a beth sy'n digwydd. Cadwch yn ddiogel. Bydd cymorth yn eich ffonio yn ol cyn gynted a phosibl.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Mae'n ddrwg gennyf. Nid ydych wedi'ch awdurdodi i ddefnyddio'r nodwedd hon.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Arhoswch ar y llinell. Rydym yn eich cysylltu ag ymatebydd nawr.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Rydych nawr wedi'ch oedi, ac ni fyddwch yn derbyn galwadau argyfwng. Deialwch seren pedwar chwech i ailddechrau.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Rydych nawr ar gael, a byddwch yn derbyn galwadau argyfwng eto.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","I newid yr iaith, pwyswch 1 am Saesneg, neu 2 am Hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
