"id","category","file","max_seconds","en","id","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Saya sedang mencoba menghubungi petugas sekarang. Mohon tetap di saluran dan tunggu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Belum ada petugas yang tersedia. Saya akan tetap bersama Anda. Kembali ke panduan.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Maaf, saya tidak memahami itu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Saya tidak mendengar ada pilihan.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Sekarang saya akan memberi Anda kesempatan untuk meninggalkan pesan bagi tim tanggap darurat. Setelah nada, sebutkan di mana Anda berada dan apa yang sedang terjadi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Panduan pertolongan pertama. Seorang petugas masih diberitahu dan akan bergabung jika bisa. Tetaplah bersama saya.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Anda telah menghubungi saluran darurat kampus. Panggilan Anda sedang direkam, dan bantuan sedang dihubungi sekarang. Tetaplah di saluran. Jika ada yang membutuhkan pertolongan pertama sekarang, tekan satu kapan saja, dan saya akan memandu Anda.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Masih menghubungkan Anda ke petugas. Jika Anda membutuhkan pertolongan pertama sekarang, tekan satu untuk panduan langkah demi langkah.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Peringatan darurat. Ada panggilan aktif di saluran darurat kampus dan belum ada petugas yang menjawab. Mohon segera sediakan diri Anda sekarang. Tekan satu untuk bergabung ke antrean darurat.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Anda sekarang bertugas. Anda akan menerima panggilan darurat kampus sampai Anda mengakhiri tugas dengan menekan bintang dua tiga.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Anda sekarang tidak bertugas. Anda tidak akan lagi menerima panggilan darurat kampus.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Segera kosongkan gedung sekarang. Keluar segera melalui pintu keluar aman terdekat. Jangan gunakan lift. Menuju titik kumpul Anda dan tunggu instruksi lebih lanjut.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Berlindung di tempat sekarang. Masuklah ke dalam ruangan, kunci atau halangi pintu Anda, jauhi jendela, dan tetap diam sampai Anda diberi tahu bahwa sudah aman. Tunggu instruksi lebih lanjut.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Keadaan darurat kini telah berakhir. Sudah aman untuk melanjutkan aktivitas normal. Terima kasih atas kerja sama Anda.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Segera menuju titik kumpul yang telah ditentukan sekarang. Bergeraklah dengan tenang, bantu orang lain jika Anda mampu, dan tunggu untuk didata. Tunggu instruksi lebih lanjut.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Ini adalah penghitungan keselamatan. Jika Anda aman dan mampu merespons, tekan satu sekarang.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Ini adalah uji coba Layanan Peringatan Darurat UPES. Ini hanya uji coba. Tidak ada tindakan yang diperlukan, dan tidak ada tanggapan darurat yang akan dikirim.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Tekan satu jika Anda aman.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Terima kasih. Anda telah ditandai aman. Anda sekarang boleh menutup telepon.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Tidak ada respons yang tercatat. Mohon hubungi warden Anda sesegera mungkin.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Segera kosongkan gedung sekarang. Keluar segera melalui pintu keluar aman terdekat. Jangan gunakan lift. Menuju titik kumpul Anda dan tunggu instruksi lebih lanjut.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Ada sebuah insiden di kampus. Jauhi area yang terdampak, jangan mendekat, dan ikuti instruksi petugas keamanan. Tunggu instruksi lebih lanjut.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Keadaan darurat kini telah berakhir. Sudah aman untuk melanjutkan aktivitas normal. Terima kasih atas kerja sama Anda.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Perhatian. Ini adalah Layanan Peringatan Darurat UPES. Segera menuju titik kumpul yang telah ditentukan sekarang. Bergeraklah dengan tenang, bantu orang lain jika Anda mampu, dan tunggu untuk didata. Tunggu instruksi lebih lanjut.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Perhatian. Ini adalah pemberitahuan dari Layanan Peringatan Darurat UPES. Mohon dengarkan dengan saksama dan ikuti instruksi berikut.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Ini adalah latihan sistem darurat UPES. Ini hanya uji coba. Tidak ada keadaan darurat nyata yang sedang berlangsung, dan tidak ada tanggapan yang akan dikirim. Terima kasih.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Tidak ada petugas yang tersedia untuk menerima panggilan Anda saat ini. Setelah nada, mohon sebutkan nama Anda, di mana Anda berada, dan apa yang sedang terjadi. Tetap aman. Bantuan akan menelepon Anda kembali sesegera mungkin.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Maaf. Anda tidak berwenang menggunakan fitur ini.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Mohon tetap di saluran. Kami sedang menghubungkan Anda ke petugas sekarang.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Anda sekarang dijeda, dan tidak akan menerima panggilan darurat. Tekan bintang empat enam untuk melanjutkan.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Anda sekarang tersedia, dan akan menerima panggilan darurat lagi.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Untuk mengubah bahasa, tekan 1 untuk bahasa Inggris atau 2 untuk bahasa Hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
