"id","category","file","max_seconds","en","ka","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","ახლა ვცდილობ მორიგესთან დაკავშირებას. გთხოვთ, დარჩეთ ხაზზე და მოიცადეთ.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","ჯერ არცერთი მორიგე არ არის თავისუფალი. მე თქვენთან დავრჩები. ვბრუნდებით მითითებებზე.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","ბოდიში, ვერ გავიგე.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","არჩევანი ვერ მოვისმინე.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","ახლა საშუალებას მოგცემთ, დატოვოთ შეტყობინება სამაშველო გუნდისთვის. სიგნალის შემდეგ თქვით, სად ხართ და რა ხდება.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","პირველადი დახმარების მითითებები. მორიგეს კვლავ ეცნობება და შემოგიერთდებათ, თუ შეძლებს. დარჩით ჩემთან.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","თქვენ დაუკავშირდით კამპუსის საგანგებო ხაზს. თქვენი ზარი იწერება და ახლა დახმარებას ვუკავშირდებით. დარჩით ხაზზე. თუ ვინმეს ახლავე სჭირდება პირველადი დახმარება, ნებისმიერ დროს დააჭირეთ ერთს და მე გაგიძღვებით.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","ჯერ კიდევ გუკავშირებთ მორიგეს. თუ ახლა გჭირდებათ პირველადი დახმარება, დააჭირეთ ერთს ეტაპობრივი მითითებებისთვის.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","საგანგებო შეტყობინება. კამპუსის საგანგებო ხაზზე აქტიური ზარია და არცერთ მორიგეს არ უპასუხია. გთხოვთ, ახლავე გახდეთ ხელმისაწვდომი. დააჭირეთ ერთს, რომ შეუერთდეთ საგანგებო რიგს.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","ახლა თქვენ ცვლაზე ხართ. მიიღებთ კამპუსის საგანგებო ზარებს, სანამ ცვლას არ დაასრულებთ ვარსკვლავი ორი სამის აკრეფით.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","ახლა თქვენ ცვლიდან გახვედით. აღარ მიიღებთ კამპუსის საგანგებო ზარებს.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. ახლავე დატოვეთ შენობა. დაუყოვნებლივ გამოდით უახლოესი უსაფრთხო გასასვლელით. ნუ ისარგებლებთ ლიფტით. გადადით შეკრების ადგილზე და დაელოდეთ შემდგომ მითითებებს.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. ახლავე დარჩით ადგილზე თავშესაფრად. შედით შენობაში, ჩაკეტეთ ან გადაკეტეთ კარი, დარჩით ფანჯრებისგან მოშორებით და იყავით ჩუმად, სანამ არ გეტყვიან, რომ უსაფრთხოა. დაელოდეთ შემდგომ მითითებებს.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. საგანგებო სიტუაცია დასრულდა. უსაფრთხოა ჩვეულებრივი საქმიანობის განახლება. გმადლობთ თანამშრომლობისთვის.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. ახლავე გაემართეთ თქვენს დანიშნულ შეკრების ადგილზე. იმოძრავეთ მშვიდად, დაეხმარეთ სხვებს, სადაც შეგიძლიათ, და დაელოდეთ აღრიცხვას. დაელოდეთ შემდგომ მითითებებს.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. ეს არის უსაფრთხოების აღრიცხვა. თუ უსაფრთხოდ ხართ და პასუხის გაცემა შეგიძლიათ, ახლავე დააჭირეთ ერთს.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","ეს არის UPES-ის საგანგებო შეტყობინების სამსახურის ტესტი. ეს მხოლოდ ტესტია. არანაირი მოქმედება არ არის საჭირო და არანაირი საგანგებო რეაგირება არ გაიგზავნება.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","დააჭირეთ ერთს, თუ უსაფრთხოდ ხართ.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","გმადლობთ. თქვენ აღინიშნეთ, როგორც უსაფრთხო. ახლა შეგიძლიათ დაასრულოთ ზარი.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","პასუხი არ დაფიქსირდა. გთხოვთ, დაუკავშირდეთ თქვენს ზედამხედველს, როგორც კი შეძლებთ.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. ახლავე დატოვეთ შენობა. დაუყოვნებლივ გამოდით უახლოესი უსაფრთხო გასასვლელით. ნუ ისარგებლებთ ლიფტით. გადადით შეკრების ადგილზე და დაელოდეთ შემდგომ მითითებებს.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. კამპუსზე მოხდა ინციდენტი. დარჩით დაზარალებული ზონისგან მოშორებით, ნუ მიუახლოვდებით და მიჰყევით დაცვის თანამშრომლების მითითებებს. დაელოდეთ შემდგომ მითითებებს.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. საგანგებო სიტუაცია დასრულდა. უსაფრთხოა ჩვეულებრივი საქმიანობის განახლება. გმადლობთ თანამშრომლობისთვის.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","ყურადღება. ეს არის UPES-ის საგანგებო შეტყობინების სამსახური. ახლავე გაემართეთ თქვენს დანიშნულ შეკრების ადგილზე. იმოძრავეთ მშვიდად, დაეხმარეთ სხვებს, სადაც შეგიძლიათ, და დაელოდეთ აღრიცხვას. დაელოდეთ შემდგომ მითითებებს.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","ყურადღება. ეს არის შეტყობინება UPES-ის საგანგებო შეტყობინების სამსახურისგან. გთხოვთ, ყურადღებით მოისმინოთ და მიჰყვეთ შემდეგ მითითებებს.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","ეს არის UPES-ის საგანგებო სისტემის სავარჯიშო. ეს მხოლოდ ტესტია. რეალური საგანგებო სიტუაცია არ მიმდინარეობს და არანაირი რეაგირება არ გაიგზავნება. გმადლობთ.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","ამ წუთას თქვენი ზარის მისაღებად არცერთი მორიგე არ არის ხელმისაწვდომი. სიგნალის შემდეგ, გთხოვთ, თქვათ თქვენი სახელი, სად ხართ და რა ხდება. იყავით უსაფრთხოდ. დახმარება დაგირეკავთ რაც შეიძლება მალე.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","ბოდიში. თქვენ არ გაქვთ ამ ფუნქციის გამოყენების უფლება.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","გთხოვთ, დარჩეთ ხაზზე. ახლა გუკავშირებთ მორიგეს.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","ახლა თქვენ პაუზაზე ხართ და საგანგებო ზარებს ვერ მიიღებთ. განახლებისთვის აკრიფეთ ვარსკვლავი ოთხი ექვსი.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","ახლა თქვენ ხელმისაწვდომი ხართ და კვლავ მიიღებთ საგანგებო ზარებს.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","ენის შესაცვლელად დააჭირეთ 1-ს ინგლისურისთვის ან 2-ს ჰინდისთვის.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
