"id","category","file","max_seconds","en","tr","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Şu anda bir görevliye ulaşmaya çalışıyorum. Lütfen hatta kalın ve bekleyin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Henüz müsait bir görevli yok. Sizinle kalacağım. Rehberliğe dönüyorum.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Üzgünüm, bunu anlayamadım.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Bir seçim duymadım.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Şimdi müdahale ekibi için bir mesaj bırakmanıza izin vereceğim. Sinyal sesinden sonra, nerede olduğunuzu ve ne olduğunu söyleyin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","İlk yardım rehberliği. Bir görevli hâlâ uyarılıyor ve mümkünse katılacak. Benimle kalın.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Kampüs acil durum hattına ulaştınız. Aramanız kaydediliyor ve şimdi yardıma ulaşılıyor. Hatta kalın. Birinin şu anda ilk yardıma ihtiyacı varsa, istediğiniz zaman bir tuşuna basın, size rehberlik edeceğim.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Sizi hâlâ bir görevliye bağlıyorum. Şimdi ilk yardıma ihtiyacınız varsa, adım adım rehberlik için bir tuşuna basın.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Acil durum uyarısı. Kampüs acil durum hattında aktif bir arama var ve hiçbir görevli yanıt vermedi. Lütfen şimdi müsait olun. Acil durum kuyruğuna katılmak için bir tuşuna basın.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Artık nöbettesiniz. Yıldız iki üç tuşlayarak nöbetten çıkana kadar kampüs acil durum aramalarını alacaksınız.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Artık nöbette değilsiniz. Artık kampüs acil durum aramalarını almayacaksınız.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Binayı şimdi boşaltın. En yakın güvenli çıkıştan derhal ayrılın. Asansörleri kullanmayın. Toplanma noktanıza gidin ve daha fazla talimat bekleyin.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Şimdi bulunduğunuz yerde güvende kalın. İçeri girin, kapınızı kilitleyin veya engelleyin, pencerelerden uzak durun ve güvenli olduğu söylenene kadar sessiz kalın. Daha fazla talimat bekleyin.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Acil durum artık sona erdi. Normal faaliyete devam etmek güvenlidir. İşbirliğiniz için teşekkür ederiz.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Şimdi belirlenen toplanma noktanıza gidin. Sakince hareket edin, yapabildiğiniz yerde başkalarına yardım edin ve sayılmayı bekleyin. Daha fazla talimat bekleyin.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Bu bir güvenlik sayımıdır. Güvendeyseniz ve yanıt verebiliyorsanız, şimdi bir tuşuna basın.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Bu, UPES Acil Durum Uyarı Servisinin bir testidir. Bu yalnızca bir testtir. Herhangi bir işlem yapmanız gerekmez ve hiçbir acil durum müdahalesi gönderilmeyecektir.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Güvendeyseniz bir tuşuna basın.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Teşekkürler. Güvende olarak işaretlendiniz. Artık telefonu kapatabilirsiniz.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Hiçbir yanıt kaydedilmedi. Lütfen mümkün olan en kısa sürede sorumlunuzla iletişime geçin.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Binayı şimdi boşaltın. En yakın güvenli çıkıştan derhal ayrılın. Asansörleri kullanmayın. Toplanma noktanıza gidin ve daha fazla talimat bekleyin.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Kampüste bir olay var. Etkilenen alandan uzak durun, yaklaşmayın ve güvenlik personelinin talimatlarına uyun. Daha fazla talimat bekleyin.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Acil durum artık sona erdi. Normal faaliyete devam etmek güvenlidir. İşbirliğiniz için teşekkür ederiz.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Dikkat. Bu, UPES Acil Durum Uyarı Servisidir. Şimdi belirlenen toplanma noktanıza gidin. Sakince hareket edin, yapabildiğiniz yerde başkalarına yardım edin ve sayılmayı bekleyin. Daha fazla talimat bekleyin.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Dikkat. Bu, UPES Acil Durum Uyarı Servisinden bir bildirimdir. Lütfen dikkatlice dinleyin ve aşağıdaki talimatlara uyun.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Bu, bir UPES acil durum sistemi tatbikatıdır. Bu yalnızca bir testtir. Gerçek bir acil durum söz konusu değildir ve hiçbir müdahale gönderilmeyecektir. Teşekkürler.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Şu anda aramanızı alabilecek müsait bir görevli yok. Sinyal sesinden sonra, lütfen adınızı, nerede olduğunuzu ve ne olduğunu söyleyin. Güvende kalın. Yardım en kısa sürede sizi geri arayacaktır.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Üzgünüm. Bu özelliği kullanma yetkiniz yok.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Lütfen hatta kalın. Sizi şimdi bir görevliye bağlıyoruz.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Artık duraklatıldınız ve acil durum aramaları almayacaksınız. Devam etmek için yıldız dört altı tuşlayın.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Artık müsaitsiniz ve tekrar acil durum aramaları alacaksınız.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Dili değiştirmek için İngilizce için 1'e, Hintçe için 2'ye basın.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
