"id","category","file","max_seconds","en","ur","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","میں ابھی کسی رسپانڈر تک پہنچنے کی کوشش کر رہا ہوں۔ براہ کرم لائن پر رہیں اور انتظار کریں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","ابھی تک کوئی رسپانڈر دستیاب نہیں ہے۔ میں آپ کے ساتھ رہوں گا۔ رہنمائی کی طرف واپس جا رہے ہیں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","معاف کیجیے، میں یہ سمجھ نہیں سکا۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","مجھے کوئی انتخاب سنائی نہیں دیا۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","اب میں آپ کو رسپانس ٹیم کے لیے ایک پیغام چھوڑنے دوں گا۔ ٹون کے بعد، بتائیں کہ آپ کہاں ہیں اور کیا ہو رہا ہے۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","ابتدائی طبی امداد کی رہنمائی۔ ایک رسپانڈر کو ابھی بھی مطلع کیا جا رہا ہے اور اگر ممکن ہوا تو وہ شامل ہوں گے۔ میرے ساتھ رہیں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","آپ کیمپس ایمرجنسی لائن پر پہنچ گئے ہیں۔ آپ کی کال ریکارڈ کی جا رہی ہے، اور ابھی مدد تک پہنچا جا رہا ہے۔ لائن پر رہیں۔ اگر کسی کو ابھی ابتدائی طبی امداد کی ضرورت ہے، تو کسی بھی وقت ایک دبائیں، اور میں آپ کی رہنمائی کروں گا۔","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","آپ کو ابھی بھی ایک رسپانڈر سے جوڑا جا رہا ہے۔ اگر آپ کو ابھی ابتدائی طبی امداد چاہیے، تو مرحلہ وار رہنمائی کے لیے ایک دبائیں۔","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","ایمرجنسی الرٹ۔ کیمپس ایمرجنسی لائن پر ایک فعال کال ہے اور کسی رسپانڈر نے جواب نہیں دیا۔ براہ کرم ابھی دستیاب ہوں۔ ایمرجنسی قطار میں شامل ہونے کے لیے ایک دبائیں۔","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","اب آپ ڈیوٹی پر ہیں۔ جب تک آپ سٹار دو تین ڈائل کر کے ڈیوٹی سے نہیں ہٹتے، تب تک آپ کو کیمپس ایمرجنسی کالیں ملتی رہیں گی۔","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","اب آپ ڈیوٹی سے ہٹ گئے ہیں۔ اب آپ کو کیمپس ایمرجنسی کالیں نہیں ملیں گی۔","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ ابھی عمارت خالی کریں۔ قریبی محفوظ راستے سے فوراً باہر نکلیں۔ لفٹ کا استعمال نہ کریں۔ اپنے اجتماع کی جگہ پر جائیں اور مزید ہدایات کا انتظار کریں۔","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ ابھی جہاں ہیں وہیں محفوظ رہیں۔ اندر چلے جائیں، اپنا دروازہ بند کریں یا روکیں، کھڑکیوں سے دور رہیں، اور جب تک محفوظ ہونے کی اطلاع نہ ملے تب تک خاموش رہیں۔ مزید ہدایات کا انتظار کریں۔","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ ایمرجنسی اب ختم ہو گئی ہے۔ معمول کی سرگرمی دوبارہ شروع کرنا محفوظ ہے۔ آپ کے تعاون کا شکریہ۔","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ ابھی اپنے مقررہ اجتماع کی جگہ پر جائیں۔ سکون سے چلیں، جہاں ممکن ہو دوسروں کی مدد کریں، اور گنتی کے لیے انتظار کریں۔ مزید ہدایات کا انتظار کریں۔","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ یہ ایک حفاظتی گنتی ہے۔ اگر آپ محفوظ ہیں اور جواب دینے کے قابل ہیں، تو ابھی ایک دبائیں۔","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","یہ یو پی ای ایس ایمرجنسی الرٹ سروس کا ایک ٹیسٹ ہے۔ یہ صرف ایک ٹیسٹ ہے۔ کسی کارروائی کی ضرورت نہیں، اور کوئی ایمرجنسی رسپانس نہیں بھیجا جائے گا۔","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","اگر آپ محفوظ ہیں تو ایک دبائیں۔","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","شکریہ۔ آپ کو محفوظ درج کر لیا گیا ہے۔ اب آپ کال ختم کر سکتے ہیں۔","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","کوئی جواب درج نہیں ہوا۔ براہ کرم جتنی جلدی ممکن ہو اپنے وارڈن سے رابطہ کریں۔","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ ابھی عمارت خالی کریں۔ قریبی محفوظ راستے سے فوراً باہر نکلیں۔ لفٹ کا استعمال نہ کریں۔ اپنے اجتماع کی جگہ پر جائیں اور مزید ہدایات کا انتظار کریں۔","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ کیمپس میں ایک واقعہ پیش آیا ہے۔ متاثرہ علاقے سے دور رہیں، قریب نہ جائیں، اور سیکیورٹی عملے کی ہدایات پر عمل کریں۔ مزید ہدایات کا انتظار کریں۔","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ ایمرجنسی اب ختم ہو گئی ہے۔ معمول کی سرگرمی دوبارہ شروع کرنا محفوظ ہے۔ آپ کے تعاون کا شکریہ۔","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس ہے۔ ابھی اپنے مقررہ اجتماع کی جگہ پر جائیں۔ سکون سے چلیں، جہاں ممکن ہو دوسروں کی مدد کریں، اور گنتی کے لیے انتظار کریں۔ مزید ہدایات کا انتظار کریں۔","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","توجہ دیں۔ یہ یو پی ای ایس ایمرجنسی الرٹ سروس کی طرف سے ایک اطلاع ہے۔ براہ کرم غور سے سنیں اور آگے دی گئی ہدایات پر عمل کریں۔","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","یہ یو پی ای ایس ایمرجنسی سسٹم کی ایک مشق ہے۔ یہ صرف ایک ٹیسٹ ہے۔ کوئی حقیقی ایمرجنسی جاری نہیں ہے، اور کوئی رسپانس نہیں بھیجا جائے گا۔ شکریہ۔","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","ابھی آپ کی کال لینے کے لیے کوئی رسپانڈر دستیاب نہیں ہے۔ ٹون کے بعد، براہ کرم اپنا نام، آپ کہاں ہیں، اور کیا ہو رہا ہے بتائیں۔ محفوظ رہیں۔ مدد جلد از جلد آپ کو واپس کال کرے گی۔","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","معاف کیجیے۔ آپ اس سہولت کو استعمال کرنے کے مجاز نہیں ہیں۔","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","براہ کرم لائن پر رہیں۔ ہم ابھی آپ کو ایک رسپانڈر سے جوڑ رہے ہیں۔","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","اب آپ روک دیے گئے ہیں، اور آپ کو ایمرجنسی کالیں نہیں ملیں گی۔ دوبارہ شروع کرنے کے لیے سٹار چار چھ ڈائل کریں۔","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","اب آپ دستیاب ہیں، اور آپ کو دوبارہ ایمرجنسی کالیں ملیں گی۔","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","زبان تبدیل کرنے کے لیے، انگریزی کے لیے 1 دبائیں، یا ہندی کے لیے 2 دبائیں۔","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
