"id","category","file","max_seconds","en","lv","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Es tagad mēģinu sazināties ar operatoru. Lūdzu, palieciet uz līnijas un gaidiet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Neviens operators vēl nav brīvs. Es palikšu pie jums. Atgriežamies pie norādēm.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Atvainojiet, es to nesapratu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Es nedzirdēju izvēli.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Tagad es ļaušu jums atstāt ziņojumu reaģēšanas komandai. Pēc signāla pasakiet, kur atrodaties un kas notiek.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Pirmās palīdzības norādes. Operators joprojām tiek brīdināts un pievienosies, ja varēs. Palieciet ar mani.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Jūs esat sazvanījis kampusa ārkārtas līniju. Jūsu zvans tiek ierakstīts, un palīdzība tiek izsaukta tūlīt. Palieciet uz līnijas. Ja kādam tūlīt ir nepieciešama pirmā palīdzība, jebkurā laikā nospiediet vienu, un es jūs vadīšu.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Joprojām savienojam jūs ar operatoru. Ja jums tagad ir nepieciešama pirmā palīdzība, nospiediet vienu, lai saņemtu norādes soli pa solim.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Ārkārtas brīdinājums. Kampusa ārkārtas līnijā ir aktīvs zvans, un neviens operators nav atbildējis. Lūdzu, padariet sevi pieejamu tūlīt. Nospiediet vienu, lai pievienotos ārkārtas rindai.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Jūs tagad esat maiņā. Jūs saņemsiet kampusa ārkārtas zvanus, līdz beigsiet maiņu, sastādot zvaigzne divi trīs.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Jūs tagad esat beidzis maiņu. Jūs vairs nesaņemsiet kampusa ārkārtas zvanus.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Evakuējiet ēku tagad. Nekavējoties izejiet pa tuvāko drošo izeju. Neizmantojiet liftus. Dodieties uz savu pulcēšanās vietu un gaidiet turpmākos norādījumus.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Patverieties uz vietas tagad. Ejiet iekštelpās, aizslēdziet vai nobloķējiet savas durvis, turieties prom no logiem un palieciet klusi, līdz jums paziņo, ka ir droši. Gaidiet turpmākos norādījumus.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Ārkārtas situācija tagad ir beigusies. Ir droši atsākt ierasto darbību. Paldies par sadarbību.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Dodieties uz savu noteikto pulcēšanās vietu tagad. Kustieties mierīgi, palīdziet citiem, kur varat, un gaidiet, kad jūs saskaitīs. Gaidiet turpmākos norādījumus.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Šī ir drošības pārbaude ar personu skaitīšanu. Ja esat drošībā un varat atbildēt, nospiediet vienu tagad.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Šis ir UPES ārkārtas brīdināšanas dienesta tests. Šis ir tikai tests. Nekāda rīcība nav nepieciešama, un netiks nosūtīta nekāda ārkārtas reaģēšana.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Nospiediet vienu, ja esat drošībā.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Paldies. Jūs esat atzīmēts kā drošībā. Tagad varat nolikt klausuli.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Netika reģistrēta neviena atbilde. Lūdzu, sazinieties ar savu uzraugu, tiklīdz varat.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Evakuējiet ēku tagad. Nekavējoties izejiet pa tuvāko drošo izeju. Neizmantojiet liftus. Dodieties uz savu pulcēšanās vietu un gaidiet turpmākos norādījumus.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Kampusā ir noticis incidents. Turieties prom no skartās teritorijas, netuvojieties tai un ievērojiet apsardzes darbinieku norādījumus. Gaidiet turpmākos norādījumus.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Ārkārtas situācija tagad ir beigusies. Ir droši atsākt ierasto darbību. Paldies par sadarbību.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Uzmanību. Šis ir UPES ārkārtas brīdināšanas dienests. Dodieties uz savu noteikto pulcēšanās vietu tagad. Kustieties mierīgi, palīdziet citiem, kur varat, un gaidiet, kad jūs saskaitīs. Gaidiet turpmākos norādījumus.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Uzmanību. Šis ir paziņojums no UPES ārkārtas brīdināšanas dienesta. Lūdzu, klausieties uzmanīgi un ievērojiet turpmākos norādījumus.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Šī ir UPES ārkārtas sistēmas mācību trauksme. Šis ir tikai tests. Nenotiek neviena reāla ārkārtas situācija, un netiks nosūtīta nekāda reaģēšana. Paldies.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Šobrīd nav pieejams neviens operators, kas varētu pieņemt jūsu zvanu. Pēc signāla, lūdzu, pasakiet savu vārdu, kur atrodaties un kas notiek. Palieciet drošībā. Palīdzība jums atzvanīs, cik drīz vien iespējams.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Atvainojiet. Jums nav atļaujas izmantot šo funkciju.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Lūdzu, palieciet uz līnijas. Mēs tagad savienojam jūs ar operatoru.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Jūs tagad esat pauzēts un nesaņemsiet ārkārtas zvanus. Sastādiet zvaigzne četri seši, lai atsāktu.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Jūs tagad esat pieejams un atkal saņemsiet ārkārtas zvanus.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Lai mainītu valodu, nospiediet 1, lai izvēlētos angļu valodu, vai 2 — hindi valodu.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
