"id","category","file","max_seconds","en","ar","notes"
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","لم أسمع أي اختيار.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","سأتيح لك الآن ترك رسالة لفريق الاستجابة. بعد النغمة، قل أين أنت وما الذي يحدث.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","إرشادات الإسعافات الأولية. لا يزال يتم تنبيه مستجيب وسينضم إن استطاع. ابقَ معي.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","لقد وصلت إلى خط الطوارئ في الحرم الجامعي. يتم تسجيل مكالمتك، ويجري الوصول إلى المساعدة الآن. ابقَ على الخط. إذا كان أحد بحاجة إلى إسعافات أولية الآن، فاضغط واحد في أي وقت، وسأرشدك.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","ما زلنا نوصلك بمستجيب. إذا كنت بحاجة إلى إسعافات أولية الآن، فاضغط واحد للحصول على إرشاد خطوة بخطوة.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","تنبيه طوارئ. توجد مكالمة نشطة على خط الطوارئ في الحرم الجامعي ولم يرد أي مستجيب. من فضلك اجعل نفسك متاحًا الآن. اضغط واحد للانضمام إلى قائمة انتظار الطوارئ.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","أنت الآن في المناوبة. ستتلقى مكالمات الطوارئ في الحرم الجامعي حتى تنهي المناوبة بطلب نجمة اثنان ثلاثة.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","أنت الآن خارج المناوبة. لن تتلقى بعد الآن مكالمات الطوارئ في الحرم الجامعي.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. أخلِ المبنى الآن. غادر فورًا من أقرب مخرج آمن. لا تستخدم المصاعد. توجّه إلى نقطة التجمع وانتظر تعليمات إضافية.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. احتمِ في مكانك الآن. ادخل إلى الداخل، واقفل بابك أو سُدّه، وابتعد عن النوافذ، وابقَ هادئًا حتى يُقال لك إن الوضع آمن. انتظر تعليمات إضافية.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. انتهت حالة الطوارئ الآن. من الآمن استئناف النشاط الطبيعي. شكرًا لتعاونك.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. توجّه إلى نقطة التجمع المخصصة لك الآن. تحرّك بهدوء، وساعد الآخرين حيثما أمكنك، وانتظر أن يتم إحصاؤك. انتظر تعليمات إضافية.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. هذا إحصاء للسلامة. إذا كنت بأمان وقادرًا على الرد، فاضغط واحد الآن.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","هذا اختبار لخدمة تنبيه الطوارئ في UPES. هذا مجرد اختبار. لا يلزم اتخاذ أي إجراء، ولن يتم إرسال أي استجابة طوارئ.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","اضغط واحد إذا كنت بأمان.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","شكرًا. تم تسجيلك كآمن. يمكنك الآن إنهاء المكالمة.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","لم يتم تسجيل أي رد. من فضلك اتصل بالمشرف المسؤول عنك في أقرب وقت ممكن.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. أخلِ المبنى الآن. غادر فورًا من أقرب مخرج آمن. لا تستخدم المصاعد. توجّه إلى نقطة التجمع وانتظر تعليمات إضافية.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. توجد حادثة في الحرم الجامعي. ابتعد عن المنطقة المتأثرة، ولا تقترب، واتبع تعليمات أفراد الأمن. انتظر تعليمات إضافية.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. انتهت حالة الطوارئ الآن. من الآمن استئناف النشاط الطبيعي. شكرًا لتعاونك.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","انتباه. هذه خدمة تنبيه الطوارئ في UPES. توجّه إلى نقطة التجمع المخصصة لك الآن. تحرّك بهدوء، وساعد الآخرين حيثما أمكنك، وانتظر أن يتم إحصاؤك. انتظر تعليمات إضافية.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","انتباه. هذا إشعار من خدمة تنبيه الطوارئ في UPES. من فضلك استمع بعناية واتبع التعليمات التالية.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","هذا تدريب لنظام الطوارئ في UPES. هذا مجرد اختبار. لا توجد حالة طوارئ حقيقية جارية، ولن يتم إرسال أي استجابة. شكرًا.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","لا يوجد مستجيب متاح لتلقي مكالمتك الآن. بعد النغمة، من فضلك قل اسمك، وأين أنت، وما الذي يحدث. ابقَ آمنًا. سيعاود فريق المساعدة الاتصال بك في أقرب وقت ممكن.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","عذرًا. أنت غير مخوّل لاستخدام هذه الميزة.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","من فضلك ابقَ على الخط. نحن نوصلك بمستجيب الآن.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","أنت الآن متوقف مؤقتًا، ولن تتلقى مكالمات الطوارئ. اطلب نجمة أربعة ستة للاستئناف.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","أنت الآن متاح، وستتلقى مكالمات الطوارئ مرة أخرى.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","لتغيير اللغة، اضغط 1 للإنجليزية، أو 2 للهندية.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
