"id","category","file","max_seconds","en","vi","notes"
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Hiện vẫn chưa có nhân viên ứng cứu nào rảnh. Tôi sẽ ở bên bạn. Đang quay lại phần hướng dẫn.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Xin lỗi, tôi không hiểu lựa chọn đó.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Tôi không nghe thấy lựa chọn nào.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Bây giờ tôi sẽ để bạn để lại lời nhắn cho đội ứng cứu. Sau tiếng bíp, hãy nói bạn đang ở đâu và chuyện gì đang xảy ra.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Hướng dẫn sơ cứu. Một nhân viên ứng cứu vẫn đang được thông báo và sẽ tham gia nếu có thể. Hãy ở bên tôi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Bạn đã kết nối tới đường dây khẩn cấp của khuôn viên trường. Cuộc gọi của bạn đang được ghi âm, và bộ phận hỗ trợ đang được liên hệ ngay lúc này. Hãy giữ máy. Nếu có ai cần sơ cứu ngay bây giờ, hãy nhấn phím một vào bất cứ lúc nào, và tôi sẽ hướng dẫn bạn.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Vẫn đang kết nối bạn với một nhân viên ứng cứu. Nếu bạn cần sơ cứu ngay, hãy nhấn phím một để được hướng dẫn từng bước.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Cảnh báo khẩn cấp. Có một cuộc gọi đang diễn ra trên đường dây khẩn cấp của khuôn viên trường và chưa có nhân viên ứng cứu nào trả lời. Vui lòng sẵn sàng ngay bây giờ. Nhấn phím một để tham gia hàng đợi khẩn cấp.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Bây giờ bạn đã vào ca trực. Bạn sẽ nhận các cuộc gọi khẩn cấp của khuôn viên trường cho đến khi bạn kết thúc ca bằng cách bấm sao hai ba.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Bây giờ bạn đã kết thúc ca trực. Bạn sẽ không còn nhận các cuộc gọi khẩn cấp của khuôn viên trường nữa.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Hãy sơ tán khỏi tòa nhà ngay bây giờ. Rời đi ngay lập tức qua lối thoát an toàn gần nhất. Không sử dụng thang máy. Di chuyển tới điểm tập kết và chờ hướng dẫn tiếp theo.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Hãy trú ẩn tại chỗ ngay bây giờ. Vào trong nhà, khóa hoặc chặn cửa lại, tránh xa cửa sổ, và giữ yên lặng cho đến khi được báo là an toàn. Chờ hướng dẫn tiếp theo.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Tình huống khẩn cấp hiện đã kết thúc. Đã an toàn để trở lại hoạt động bình thường. Cảm ơn sự hợp tác của bạn.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Hãy đến điểm tập kết được chỉ định của bạn ngay bây giờ. Di chuyển bình tĩnh, giúp đỡ người khác khi có thể, và chờ được điểm danh. Chờ hướng dẫn tiếp theo.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Đây là đợt điểm danh an toàn. Nếu bạn an toàn và có thể phản hồi, hãy nhấn phím một ngay bây giờ.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Đây là một cuộc thử nghiệm của Dịch vụ Cảnh báo Khẩn cấp UPES. Đây chỉ là một cuộc thử nghiệm. Không cần thực hiện hành động nào, và sẽ không có lực lượng ứng cứu khẩn cấp nào được điều động.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Hãy nhấn phím một nếu bạn an toàn.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Cảm ơn bạn. Bạn đã được ghi nhận là an toàn. Bây giờ bạn có thể gác máy.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Không có phản hồi nào được ghi nhận. Vui lòng liên hệ với người phụ trách của bạn ngay khi có thể.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Hãy sơ tán khỏi tòa nhà ngay bây giờ. Rời đi ngay lập tức qua lối thoát an toàn gần nhất. Không sử dụng thang máy. Di chuyển tới điểm tập kết và chờ hướng dẫn tiếp theo.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Có một sự cố trong khuôn viên trường. Hãy tránh xa khu vực bị ảnh hưởng, không lại gần, và làm theo hướng dẫn của nhân viên an ninh. Chờ hướng dẫn tiếp theo.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Tình huống khẩn cấp hiện đã kết thúc. Đã an toàn để trở lại hoạt động bình thường. Cảm ơn sự hợp tác của bạn.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Xin chú ý. Đây là Dịch vụ Cảnh báo Khẩn cấp UPES. Hãy đến điểm tập kết được chỉ định của bạn ngay bây giờ. Di chuyển bình tĩnh, giúp đỡ người khác khi có thể, và chờ được điểm danh. Chờ hướng dẫn tiếp theo.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Xin chú ý. Đây là một thông báo từ Dịch vụ Cảnh báo Khẩn cấp UPES. Vui lòng lắng nghe kỹ và làm theo các hướng dẫn sau đây.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Đây là một cuộc diễn tập của hệ thống khẩn cấp UPES. Đây chỉ là một cuộc thử nghiệm. Không có tình huống khẩn cấp thực nào đang diễn ra, và sẽ không có lực lượng ứng cứu nào được điều động. Cảm ơn bạn.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Hiện không có nhân viên ứng cứu nào có thể nhận cuộc gọi của bạn ngay lúc này. Sau tiếng bíp, vui lòng nói tên của bạn, bạn đang ở đâu, và chuyện gì đang xảy ra. Hãy giữ an toàn. Bộ phận hỗ trợ sẽ gọi lại cho bạn sớm nhất có thể.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Xin lỗi. Bạn không được phép sử dụng tính năng này.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Vui lòng giữ máy. Chúng tôi đang kết nối bạn với một nhân viên ứng cứu ngay bây giờ.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Bây giờ bạn đã tạm dừng, và sẽ không nhận các cuộc gọi khẩn cấp. Bấm sao bốn sáu để tiếp tục nhận.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Bây giờ bạn đã sẵn sàng, và sẽ nhận lại các cuộc gọi khẩn cấp.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Để thay đổi ngôn ngữ, nhấn 1 cho tiếng Anh hoặc 2 cho tiếng Hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
