"id","category","file","max_seconds","en","de","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Ich versuche jetzt, einen Einsatzhelfer zu erreichen. Bitte bleiben Sie in der Leitung und warten Sie.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Es ist noch kein Einsatzhelfer verfügbar. Ich bleibe bei Ihnen. Zurück zur Anleitung.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Entschuldigung, das habe ich nicht verstanden.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Ich habe keine Auswahl gehört.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Ich lasse Sie jetzt eine Nachricht für das Einsatzteam hinterlassen. Sagen Sie nach dem Ton, wo Sie sind und was passiert.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Erste-Hilfe-Anleitung. Ein Einsatzhelfer wird noch benachrichtigt und kommt hinzu, wenn er kann. Bleiben Sie bei mir.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Sie haben die Notfalllinie des Campus erreicht. Ihr Anruf wird aufgezeichnet, und es wird jetzt Hilfe verständigt. Bleiben Sie in der Leitung. Wenn jemand jetzt Erste Hilfe braucht, drücken Sie jederzeit die Eins, und ich leite Sie an.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Sie werden weiterhin mit einem Einsatzhelfer verbunden. Wenn Sie jetzt Erste Hilfe brauchen, drücken Sie die Eins für eine Schritt-für-Schritt-Anleitung.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Notfallalarm. Auf der Notfalllinie des Campus gibt es einen aktiven Anruf, und kein Einsatzhelfer hat geantwortet. Bitte machen Sie sich jetzt verfügbar. Drücken Sie die Eins, um der Notfall-Warteschlange beizutreten.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Sie sind jetzt im Dienst. Sie erhalten Notrufe des Campus, bis Sie sich mit Stern zwei drei außer Dienst melden.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Sie sind jetzt außer Dienst. Sie erhalten keine Notrufe des Campus mehr.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Achtung. Hier ist der UPES-Notfallwarndienst. Räumen Sie jetzt das Gebäude. Verlassen Sie es sofort über den nächsten sicheren Ausgang. Benutzen Sie nicht die Aufzüge. Gehen Sie zu Ihrem Sammelplatz und warten Sie auf weitere Anweisungen.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Achtung. Hier ist der UPES-Notfallwarndienst. Suchen Sie jetzt Schutz an Ort und Stelle. Gehen Sie nach drinnen, verriegeln oder blockieren Sie Ihre Tür, halten Sie sich von Fenstern fern und bleiben Sie ruhig, bis Ihnen gesagt wird, dass es sicher ist. Warten Sie auf weitere Anweisungen.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Achtung. Hier ist der UPES-Notfallwarndienst. Der Notfall ist jetzt vorbei. Sie können den normalen Betrieb sicher wieder aufnehmen. Vielen Dank für Ihre Mitarbeit.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Achtung. Hier ist der UPES-Notfallwarndienst. Begeben Sie sich jetzt zu Ihrem festgelegten Sammelplatz. Gehen Sie ruhig, helfen Sie anderen, wo Sie können, und warten Sie auf die Zählung. Warten Sie auf weitere Anweisungen.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Achtung. Hier ist der UPES-Notfallwarndienst. Dies ist eine Sicherheitszählung. Wenn Sie in Sicherheit sind und antworten können, drücken Sie jetzt die Eins.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Dies ist ein Test des UPES-Notfallwarndienstes. Dies ist nur ein Test. Es ist keine Maßnahme erforderlich, und es wird kein Notfalleinsatz ausgelöst.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Drücken Sie die Eins, wenn Sie in Sicherheit sind.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Vielen Dank. Sie sind als sicher vermerkt. Sie können jetzt auflegen.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Es wurde keine Antwort erfasst. Bitte kontaktieren Sie Ihren Warden, sobald Sie können.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Achtung. Hier ist der UPES-Notfallwarndienst. Räumen Sie jetzt das Gebäude. Verlassen Sie es sofort über den nächsten sicheren Ausgang. Benutzen Sie nicht die Aufzüge. Gehen Sie zu Ihrem Sammelplatz und warten Sie auf weitere Anweisungen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Achtung. Hier ist der UPES-Notfallwarndienst. Auf dem Campus gibt es einen Vorfall. Halten Sie sich vom betroffenen Bereich fern, nähern Sie sich nicht und befolgen Sie die Anweisungen des Sicherheitspersonals. Warten Sie auf weitere Anweisungen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Achtung. Hier ist der UPES-Notfallwarndienst. Der Notfall ist jetzt vorbei. Sie können den normalen Betrieb sicher wieder aufnehmen. Vielen Dank für Ihre Mitarbeit.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Achtung. Hier ist der UPES-Notfallwarndienst. Begeben Sie sich jetzt zu Ihrem festgelegten Sammelplatz. Gehen Sie ruhig, helfen Sie anderen, wo Sie können, und warten Sie auf die Zählung. Warten Sie auf weitere Anweisungen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Achtung. Dies ist eine Benachrichtigung des UPES-Notfallwarndienstes. Bitte hören Sie aufmerksam zu und befolgen Sie die folgenden Anweisungen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Dies ist eine Übung des UPES-Notfallsystems. Dies ist nur ein Test. Es liegt kein echter Notfall vor, und es wird kein Einsatz ausgelöst. Vielen Dank.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Im Moment ist kein Einsatzhelfer verfügbar, um Ihren Anruf entgegenzunehmen. Sagen Sie nach dem Ton bitte Ihren Namen, wo Sie sind und was passiert. Bleiben Sie in Sicherheit. Die Hilfe ruft Sie so bald wie möglich zurück.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Entschuldigung. Sie sind nicht berechtigt, diese Funktion zu nutzen.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Bitte bleiben Sie in der Leitung. Wir verbinden Sie jetzt mit einem Einsatzhelfer.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Sie sind jetzt pausiert und erhalten keine Notrufe. Wählen Sie Stern vier sechs, um fortzufahren.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Sie sind jetzt verfügbar und erhalten wieder Notrufe.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Um die Sprache zu ändern, drücken Sie 1 für Englisch oder 2 für Hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
