"id","category","file","max_seconds","en","is","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Ég er að reyna að ná í viðbragðsaðila núna. Vinsamlegast vertu áfram á línunni og bíddu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Enginn viðbragðsaðili er laus ennþá. Ég verð hjá þér. Sný aftur að leiðbeiningunum.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Því miður, ég skildi þetta ekki.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Ég heyrði ekkert val.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Ég ætla nú að leyfa þér að skilja eftir skilaboð til viðbragðsteymisins. Eftir tóninn, segðu hvar þú ert og hvað er að gerast.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Skyndihjálparleiðbeiningar. Viðbragðsaðili er enn látinn vita og bætist við ef hann getur. Vertu hjá mér.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Þú hefur náð í neyðarlínu háskólasvæðisins. Símtalið þitt er tekið upp, og verið er að ná í hjálp núna. Vertu áfram á línunni. Ef einhver þarf skyndihjálp núna, ýttu á einn hvenær sem er, og ég mun leiðbeina þér.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Enn verið að tengja þig við viðbragðsaðila. Ef þú þarft skyndihjálp núna, ýttu á einn til að fá skref fyrir skref leiðbeiningar.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Neyðarviðvörun. Það er virkt símtal á neyðarlínu háskólasvæðisins og enginn viðbragðsaðili hefur svarað. Vinsamlegast gerðu þig tiltæka núna. Ýttu á einn til að ganga í neyðarröðina.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Þú ert nú á vakt. Þú munt fá neyðarsímtöl háskólasvæðisins þar til þú ferð af vakt með því að hringja í stjörnu tvö þrjú.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Þú ert nú af vakt. Þú munt ekki lengur fá neyðarsímtöl háskólasvæðisins.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Rýmið bygginguna núna. Farið strax út um næsta örugga útgang. Ekki nota lyfturnar. Farið á söfnunarstaðinn ykkar og bíðið eftir frekari fyrirmælum.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Leitið skjóls á staðnum núna. Farið innandyra, læsið eða stíflið dyrnar, haldið ykkur fjarri gluggum, og verið hljóð þar til ykkur er sagt að það sé óhætt. Bíðið eftir frekari fyrirmælum.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Neyðarástandinu er nú lokið. Það er óhætt að hefja venjulega starfsemi að nýju. Þakka ykkur fyrir samstarfið.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Farið á tilgreindan söfnunarstað ykkar núna. Farið rólega, hjálpið öðrum þar sem þið getið, og bíðið eftir að vera talin. Bíðið eftir frekari fyrirmælum.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Þetta er öryggistalning. Ef þú ert örugg og getur svarað, ýttu þá á einn núna.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Þetta er prófun á neyðarviðvörunarþjónustu UPES. Þetta er aðeins prófun. Engra aðgerða er þörf, og engin neyðarviðbrögð verða send.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Ýttu á einn ef þú ert örugg.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Þakka þér. Þú ert skráð örugg. Þú mátt nú leggja á.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Ekkert svar var skráð. Vinsamlegast hafðu samband við vörðinn þinn um leið og þú getur.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Rýmið bygginguna núna. Farið strax út um næsta örugga útgang. Ekki nota lyfturnar. Farið á söfnunarstaðinn ykkar og bíðið eftir frekari fyrirmælum.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Það er atvik á háskólasvæðinu. Haldið ykkur fjarri viðkomandi svæði, farið ekki nær, og fylgið fyrirmælum öryggisvarða. Bíðið eftir frekari fyrirmælum.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Neyðarástandinu er nú lokið. Það er óhætt að hefja venjulega starfsemi að nýju. Þakka ykkur fyrir samstarfið.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Athygli. Þetta er neyðarviðvörunarþjónusta UPES. Farið á tilgreindan söfnunarstað ykkar núna. Farið rólega, hjálpið öðrum þar sem þið getið, og bíðið eftir að vera talin. Bíðið eftir frekari fyrirmælum.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Athygli. Þetta er tilkynning frá neyðarviðvörunarþjónustu UPES. Vinsamlegast hlustið vel og fylgið fyrirmælunum sem á eftir koma.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Þetta er æfing neyðarkerfis UPES. Þetta er aðeins prófun. Ekkert raunverulegt neyðarástand er í gangi, og engin viðbrögð verða send. Þakka þér.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Enginn viðbragðsaðili er tiltækur til að taka við símtalinu þínu núna. Eftir tóninn, segðu vinsamlegast nafn þitt, hvar þú ert, og hvað er að gerast. Vertu örugg. Hjálp mun hringja til baka í þig eins fljótt og auðið er.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Því miður. Þú hefur ekki heimild til að nota þennan eiginleika.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Vinsamlegast vertu áfram á línunni. Við erum að tengja þig við viðbragðsaðila núna.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Þú ert nú í hléi, og munt ekki fá neyðarsímtöl. Hringdu í stjörnu fjögur sex til að halda áfram.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Þú ert nú tiltæk, og munt fá neyðarsímtöl aftur.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Til að breyta tungumáli, ýttu á 1 fyrir ensku eða 2 fyrir hindí.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
