"id","category","file","max_seconds","en","fa","notes"
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","من الان در حال تلاش برای دسترسی به یک امدادگر هستم. لطفاً روی خط بمانید و منتظر بمانید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","هنوز هیچ امدادگری آزاد نیست. من با شما می‌مانم. به راهنمایی بازمی‌گردیم.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","متأسفم، آن را متوجه نشدم.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","من هیچ انتخابی نشنیدم.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","اکنون به شما اجازه می‌دهم برای تیم واکنش پیامی بگذارید. پس از شنیدن صدای بوق، بگویید کجا هستید و چه اتفاقی در حال رخ دادن است.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","راهنمای کمک‌های اولیه. هنوز به یک امدادگر اطلاع داده می‌شود و اگر بتواند به شما ملحق خواهد شد. با من بمانید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","شما به خط اضطراری پردیس رسیده‌اید. تماس شما در حال ضبط است و هم‌اکنون در حال دسترسی به نیروهای کمکی هستیم. روی خط بمانید. اگر کسی همین حالا به کمک‌های اولیه نیاز دارد، در هر زمان یک را فشار دهید و من شما را راهنمایی می‌کنم.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","هنوز در حال اتصال شما به یک امدادگر هستیم. اگر همین حالا به کمک‌های اولیه نیاز دارید، برای راهنمایی گام‌به‌گام یک را فشار دهید.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","هشدار اضطراری. یک تماس فعال روی خط اضطراری پردیس وجود دارد و هیچ امدادگری پاسخ نداده است. لطفاً همین حالا خود را در دسترس قرار دهید. برای پیوستن به صف اضطراری، یک را فشار دهید.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","شما اکنون در شیفت هستید. تا زمانی که با شماره‌گیری ستاره دو سه از شیفت خارج شوید، تماس‌های اضطراری پردیس را دریافت خواهید کرد.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","شما اکنون از شیفت خارج شده‌اید. دیگر تماس‌های اضطراری پردیس را دریافت نخواهید کرد.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","توجه. این سرویس هشدار اضطراری UPES است. همین حالا ساختمان را تخلیه کنید. فوراً از نزدیک‌ترین خروجی امن خارج شوید. از آسانسور استفاده نکنید. به نقطه تجمع خود بروید و منتظر دستورهای بعدی بمانید.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","توجه. این سرویس هشدار اضطراری UPES است. همین حالا در محل پناه بگیرید. به داخل بروید، در خود را قفل یا مسدود کنید، از پنجره‌ها دور بمانید و تا زمانی که به شما گفته شود امن است، ساکت بمانید. منتظر دستورهای بعدی بمانید.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","توجه. این سرویس هشدار اضطراری UPES است. وضعیت اضطراری اکنون به پایان رسیده است. از سرگیری فعالیت عادی امن است. از همکاری شما سپاسگزاریم.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","توجه. این سرویس هشدار اضطراری UPES است. همین حالا به نقطه تجمع تعیین‌شده خود بروید. با آرامش حرکت کنید، تا جایی که می‌توانید به دیگران کمک کنید و منتظر بمانید تا شمارش شوید. منتظر دستورهای بعدی بمانید.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","توجه. این سرویس هشدار اضطراری UPES است. این یک شمارش ایمنی افراد است. اگر در امان هستید و می‌توانید پاسخ دهید، همین حالا یک را فشار دهید.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","این یک آزمایش سرویس هشدار اضطراری UPES است. این فقط یک آزمایش است. هیچ اقدامی لازم نیست و هیچ واکنش اضطراری اعزام نخواهد شد.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","اگر در امان هستید، یک را فشار دهید.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","سپاسگزارم. شما به‌عنوان در امان ثبت شدید. اکنون می‌توانید تماس را قطع کنید.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","هیچ پاسخی ثبت نشد. لطفاً هر زمان که توانستید با سرپرست خود تماس بگیرید.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","توجه. این سرویس هشدار اضطراری UPES است. همین حالا ساختمان را تخلیه کنید. فوراً از نزدیک‌ترین خروجی امن خارج شوید. از آسانسور استفاده نکنید. به نقطه تجمع خود بروید و منتظر دستورهای بعدی بمانید.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","توجه. این سرویس هشدار اضطراری UPES است. حادثه‌ای در پردیس رخ داده است. از منطقه آسیب‌دیده دور بمانید، نزدیک نشوید و از دستورهای کارکنان امنیتی پیروی کنید. منتظر دستورهای بعدی بمانید.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","توجه. این سرویس هشدار اضطراری UPES است. وضعیت اضطراری اکنون به پایان رسیده است. از سرگیری فعالیت عادی امن است. از همکاری شما سپاسگزاریم.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","توجه. این سرویس هشدار اضطراری UPES است. همین حالا به نقطه تجمع تعیین‌شده خود بروید. با آرامش حرکت کنید، تا جایی که می‌توانید به دیگران کمک کنید و منتظر بمانید تا شمارش شوید. منتظر دستورهای بعدی بمانید.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","توجه. این یک اطلاعیه از سرویس هشدار اضطراری UPES است. لطفاً با دقت گوش دهید و از دستورهایی که در ادامه می‌آید پیروی کنید.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","این یک مانور سیستم اضطراری UPES است. این فقط یک آزمایش است. هیچ وضعیت اضطراری واقعی در جریان نیست و هیچ واکنشی اعزام نخواهد شد. سپاسگزارم.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","در حال حاضر هیچ امدادگری برای پاسخ به تماس شما در دسترس نیست. پس از شنیدن صدای بوق، لطفاً نام خود، محل حضور و آنچه در حال رخ دادن است را بگویید. در امان بمانید. نیروهای کمکی در اسرع وقت با شما تماس خواهند گرفت.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","متأسفم. شما مجاز به استفاده از این قابلیت نیستید.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","لطفاً روی خط بمانید. ما اکنون شما را به یک امدادگر متصل می‌کنیم.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","شما اکنون در حالت مکث هستید و تماس‌های اضطراری دریافت نخواهید کرد. برای از سرگیری، ستاره چهار شش را شماره‌گیری کنید.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","شما اکنون در دسترس هستید و دوباره تماس‌های اضطراری دریافت خواهید کرد.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","برای تغییر زبان، برای انگلیسی 1 و برای هندی 2 را فشار دهید.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
